time, , SurfaceRadius, Current(Model)Radius
0,00,1.764669890331076,0.4929910473333449
60,00,1.7739457995749992,0.49411586411702924
120,00,1.7831734732022166,0.4952469717323845
180,00,1.7923539073097186,0.49637477257697205
240,00,1.8014877284562818,0.4975087715161622
300,00,1.8105749741947017,0.4986490645596244
360,00,1.8196171657397702,0.49978581265679073
420,00,1.8286148664957391,0.5009287755127095
480,00,1.8375689910704034,0.5020681919612322
540,00,1.8464795411882167,0.5032137335417955
600,00,1.8553470523606543,0.5043653029167889
